name,npdId,year,month,day,flare,flareUom,flareMass,flareMassUom,coldVentCO2,coldVentCO2Uom,coldVentGas,coldVentGasUom,coldVentGasMass,coldVentGassMassUom,fuelDiesel,fuelDieselUom,fuelGas,fuelGasUom,fuelGasMass,fuelGasMassUom
Thunderball,279841,2000,1,1,174343.9526,Sm3, ,t,,Sm3,,Sm3, ,t,62966.5146,L,,Sm3, ,t
Thunderball,279841,2000,1,2,253003.28,Sm3, ,t,,Sm3,,Sm3, ,t,48928.84293,L,,Sm3, ,t
Thunderball,279841,2000,1,3,149924.8459,Sm3, ,t,,Sm3,,Sm3, ,t,54281.13196,L,,Sm3, ,t
Thunderball,279841,2000,1,4,143310.9546,Sm3, ,t,,Sm3,,Sm3, ,t,56660.47647,L,,Sm3, ,t
Thunderball,279841,2000,1,5,148525.1462,Sm3, ,t,,Sm3,,Sm3, ,t,41472.3431,L,,Sm3, ,t
Thunderball,279841,2000,1,6,159999.5401,Sm3, ,t,,Sm3,,Sm3, ,t,47221.42835,L,,Sm3, ,t
Thunderball,279841,2000,1,7,245664.6542,Sm3, ,t,,Sm3,,Sm3, ,t,38056.08613,L,,Sm3, ,t
Thunderball,279841,2000,1,8,240307.5373,Sm3, ,t,,Sm3,,Sm3, ,t,50182.10366,L,,Sm3, ,t
Thunderball,279841,2000,1,9,205725.4936,Sm3, ,t,,Sm3,,Sm3, ,t,47959.2399,L,,Sm3, ,t
Thunderball,279841,2000,1,10,147795.7872,Sm3, ,t,,Sm3,,Sm3, ,t,59794.78533,L,,Sm3, ,t
Thunderball,279841,2000,1,11,178175.0658,Sm3, ,t,,Sm3,,Sm3, ,t,56920.86957,L,,Sm3, ,t
Thunderball,279841,2000,1,12,199213.6273,Sm3, ,t,,Sm3,,Sm3, ,t,61937.236,L,,Sm3, ,t
Thunderball,279841,2000,1,13,251453.6984,Sm3, ,t,,Sm3,,Sm3, ,t,56155.25891,L,,Sm3, ,t
Thunderball,279841,2000,1,14,238563.0914,Sm3, ,t,,Sm3,,Sm3, ,t,51198.52385,L,,Sm3, ,t
Thunderball,279841,2000,1,15,189735.8403,Sm3, ,t,,Sm3,,Sm3, ,t,43376.73381,L,,Sm3, ,t
Thunderball,279841,2000,1,16,165662.0775,Sm3, ,t,,Sm3,,Sm3, ,t,56834.89668,L,,Sm3, ,t
Thunderball,279841,2000,1,17,186104.3018,Sm3, ,t,,Sm3,,Sm3, ,t,56376.17358,L,,Sm3, ,t
Thunderball,279841,2000,1,18,210469.3018,Sm3, ,t,,Sm3,,Sm3, ,t,37927.84879,L,,Sm3, ,t
Thunderball,279841,2000,1,19,198871.1392,Sm3, ,t,,Sm3,,Sm3, ,t,38707.32969,L,,Sm3, ,t
Thunderball,279841,2000,1,20,253365.0817,Sm3, ,t,,Sm3,,Sm3, ,t,55074.42052,L,,Sm3, ,t
Thunderball,279841,2000,1,21,205830.9544,Sm3, ,t,,Sm3,,Sm3, ,t,60120.58297,L,,Sm3, ,t
Thunderball,279841,2000,1,22,206867.6184,Sm3, ,t,,Sm3,,Sm3, ,t,60279.39315,L,,Sm3, ,t
Thunderball,279841,2000,1,23,238854.3242,Sm3, ,t,,Sm3,,Sm3, ,t,39820.80994,L,,Sm3, ,t
Thunderball,279841,2000,1,24,172162.6579,Sm3, ,t,,Sm3,,Sm3, ,t,35565.44744,L,,Sm3, ,t
Thunderball,279841,2000,1,25,249172.9579,Sm3, ,t,,Sm3,,Sm3, ,t,61275.0748,L,,Sm3, ,t
Thunderball,279841,2000,1,26,161087.8911,Sm3, ,t,,Sm3,,Sm3, ,t,47280.06153,L,,Sm3, ,t
Thunderball,279841,2000,1,27,167774.6299,Sm3, ,t,,Sm3,,Sm3, ,t,35477.56887,L,,Sm3, ,t
Thunderball,279841,2000,1,28,144717.2616,Sm3, ,t,,Sm3,,Sm3, ,t,57783.91885,L,,Sm3, ,t
Thunderball,279841,2000,1,29,169847.7924,Sm3, ,t,,Sm3,,Sm3, ,t,46784.01711,L,,Sm3, ,t
Thunderball,279841,2000,1,30,140585.8221,Sm3, ,t,,Sm3,,Sm3, ,t,37113.3547,L,,Sm3, ,t
Thunderball,279841,2000,1,31,250660.6733,Sm3, ,t,,Sm3,,Sm3, ,t,58467.52683,L,,Sm3, ,t
Thunderball,279841,2000,2,1,472566.1619,Sm3, ,t,,Sm3,,Sm3, ,t,41220.12694,L,2201.293906,Sm3, ,t
Thunderball,279841,2000,2,2,396543.1476,Sm3, ,t,,Sm3,,Sm3, ,t,59023.16116,L,3534.604632,Sm3, ,t
Thunderball,279841,2000,2,3,410909.8819,Sm3, ,t,,Sm3,,Sm3, ,t,47284.99902,L,3737.068383,Sm3, ,t
Thunderball,279841,2000,2,4,487540.5273,Sm3, ,t,,Sm3,,Sm3, ,t,67327.296,L,2645.545823,Sm3, ,t
Thunderball,279841,2000,2,5,321523.9913,Sm3, ,t,,Sm3,,Sm3, ,t,56583.43352,L,3273.593349,Sm3, ,t
Thunderball,279841,2000,2,6,368742.2135,Sm3, ,t,,Sm3,,Sm3, ,t,62522.6894,L,3117.363265,Sm3, ,t
Thunderball,279841,2000,2,7,448027.1174,Sm3, ,t,,Sm3,,Sm3, ,t,52122.57716,L,2762.659979,Sm3, ,t
Thunderball,279841,2000,2,8,360253.3559,Sm3, ,t,,Sm3,,Sm3, ,t,62191.91087,L,2378.584,Sm3, ,t
Thunderball,279841,2000,2,9,475444.0103,Sm3, ,t,,Sm3,,Sm3, ,t,47903.66727,L,2939.190621,Sm3, ,t
Thunderball,279841,2000,2,10,404357.7636,Sm3, ,t,,Sm3,,Sm3, ,t,62459.53838,L,2715.338417,Sm3, ,t
Thunderball,279841,2000,2,11,323368.6096,Sm3, ,t,,Sm3,,Sm3, ,t,53067.73927,L,2788.066875,Sm3, ,t
Thunderball,279841,2000,2,12,291996.6919,Sm3, ,t,,Sm3,,Sm3, ,t,51298.27286,L,2307.330339,Sm3, ,t
Thunderball,279841,2000,2,13,402962.3889,Sm3, ,t,,Sm3,,Sm3, ,t,53844.56186,L,2920.575375,Sm3, ,t
Thunderball,279841,2000,2,14,273867.7852,Sm3, ,t,,Sm3,,Sm3, ,t,58307.05816,L,3378.495124,Sm3, ,t
Thunderball,279841,2000,2,15,294508.5174,Sm3, ,t,,Sm3,,Sm3, ,t,45273.03786,L,2978.190662,Sm3, ,t
Thunderball,279841,2000,2,16,445968.7673,Sm3, ,t,,Sm3,,Sm3, ,t,50344.19824,L,2099.233289,Sm3, ,t
Thunderball,279841,2000,2,17,447242.3868,Sm3, ,t,,Sm3,,Sm3, ,t,60317.18331,L,2832.86314,Sm3, ,t
Thunderball,279841,2000,2,18,327364.6358,Sm3, ,t,,Sm3,,Sm3, ,t,43164.66371,L,3343.322012,Sm3, ,t
Thunderball,279841,2000,2,19,286435.2435,Sm3, ,t,,Sm3,,Sm3, ,t,65279.04584,L,2806.52836,Sm3, ,t
Thunderball,279841,2000,2,20,298932.0818,Sm3, ,t,,Sm3,,Sm3, ,t,54274.79494,L,3145.841847,Sm3, ,t
Thunderball,279841,2000,2,21,404087.9787,Sm3, ,t,,Sm3,,Sm3, ,t,43431.41,L,2606.177589,Sm3, ,t
Thunderball,279841,2000,2,22,381615.4734,Sm3, ,t,,Sm3,,Sm3, ,t,49483.68826,L,2916.108057,Sm3, ,t
Thunderball,279841,2000,2,23,365782.8919,Sm3, ,t,,Sm3,,Sm3, ,t,64622.47459,L,2926.487748,Sm3, ,t
Thunderball,279841,2000,2,24,462511.1605,Sm3, ,t,,Sm3,,Sm3, ,t,48423.52598,L,3194.679796,Sm3, ,t
Thunderball,279841,2000,2,25,344011.1574,Sm3, ,t,,Sm3,,Sm3, ,t,54412.98262,L,3129.153978,Sm3, ,t
Thunderball,279841,2000,2,26,310020.2638,Sm3, ,t,,Sm3,,Sm3, ,t,45670.82892,L,2906.250822,Sm3, ,t
Thunderball,279841,2000,2,27,360128.2931,Sm3, ,t,,Sm3,,Sm3, ,t,64201.02768,L,2492.713096,Sm3, ,t
Thunderball,279841,2000,2,28,398555.5175,Sm3, ,t,,Sm3,,Sm3, ,t,41703.98481,L,2903.331184,Sm3, ,t
Thunderball,279841,2000,2,29,361049.9847,Sm3, ,t,,Sm3,,Sm3, ,t,46240.12138,L,2279.408331,Sm3, ,t
Thunderball,279841,2000,3,1,214539.9817,Sm3, ,t,,Sm3,,Sm3, ,t,38440.16351,L,3803.291286,Sm3, ,t
Thunderball,279841,2000,3,2,353214.0507,Sm3, ,t,,Sm3,,Sm3, ,t,52862.89065,L,5010.581572,Sm3, ,t
Thunderball,279841,2000,3,3,209556.7932,Sm3, ,t,,Sm3,,Sm3, ,t,35890.87176,L,4360.619341,Sm3, ,t
Thunderball,279841,2000,3,4,253455.0588,Sm3, ,t,,Sm3,,Sm3, ,t,38444.75107,L,5009.557474,Sm3, ,t
Thunderball,279841,2000,3,5,312992.4623,Sm3, ,t,,Sm3,,Sm3, ,t,36916.42819,L,5116.632513,Sm3, ,t
Thunderball,279841,2000,3,6,267793.4553,Sm3, ,t,,Sm3,,Sm3, ,t,32136.13006,L,4808.462712,Sm3, ,t
Thunderball,279841,2000,3,7,248854.2137,Sm3, ,t,,Sm3,,Sm3, ,t,52416.78558,L,4189.541998,Sm3, ,t
Thunderball,279841,2000,3,8,251453.7793,Sm3, ,t,,Sm3,,Sm3, ,t,51681.16057,L,4696.875339,Sm3, ,t
